"","unknown","joy","sadness","anger","surprise","fear","disgust"
"classinvisiblenbspspanspana",113,11,0,2,0,0,0
"classinvisiblenbspspanspanaa",1,0,0,0,0,0,0
"classinvisiblenbspspanspanaquot",5,1,0,0,0,0,0
"classinvisiblespanspan",119,12,0,2,0,0,0
"classjsdisplayurlanishgingdencspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlycoittspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlydisvkfspanspan",2,0,0,0,0,0,0
"classjsdisplayurlbitlydiwcqcspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlydjynpbspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlydkrhowspanspan",6,0,0,0,0,0,0
"classjsdisplayurlbitlygdeiyspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlygvbpespanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyhgmspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyhkgrkspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyhqythspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyjahygdspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyjfcqwjspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyjntdrspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyjxewsspanspan",2,0,0,0,0,0,0
"classjsdisplayurlbitlymbmqwspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlymciwspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlymmbspanspan",3,0,0,0,0,0,0
"classjsdisplayurlbitlymmeqspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlymwkorspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlymxfgnpspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlynlyspanspan",3,0,0,0,0,0,0
"classjsdisplayurlbitlyomtxjzspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyonnuokspanspan",1,0,0,0,0,0,0
"classjsdisplayurlbitlyophybspanspan",2,0,0,0,0,0,0
"classjsdisplayurldlvritycdspanspan",1,0,0,0,0,0,0
"classjsdisplayurldlvritycxxspanspan",1,0,0,0,0,0,0
"classjsdisplayurldlvritydbkvspanspan",1,0,0,0,0,0,0
"classjsdisplayurldlvritypknqspanspan",1,0,0,0,0,0,0
"classjsdisplayurldlvrityqvsspanspan",1,0,0,0,0,0,0
"classjsdisplayurldlvrityxtwmspanspan",1,0,0,0,0,0,0
"classjsdisplayurldnaiincizspanspan",1,0,0,0,0,0,0
"classjsdisplayurlecotimsbazpyspanspan",1,0,0,0,0,0,0
"classjsdisplayurlecotimsrfbuyspanspan",2,0,0,0,0,0,0
"classjsdisplayurlengagedinocomaskrgspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeaekuhpspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeaiexsmntspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeaqvzfhdyspanspan",1,0,0,0,0,0,0
"classjsdisplayurlfbmeaxtsvojtspanspan",0,1,0,0,0,0,0
"classjsdisplayurlfbmecfdigggspanspan",0,1,0,0,0,0,0
